1	Divisions of the field
Flag of Alaska, USA
 
Flag of the State of Indiana, USA
Flag of the State of Indiana, USA
 
Former Banner of Kansas, USA (1925–1927)
Former Banner of Kansas, USA (1925–1927)
 
Flag of the state of Nevada, USA
Flag of the state of Nevada, USA
 
Flag of New Hampshire, USA
Flag of New Hampshire, USA
 
Flag of South Dakota, USA
Flag of South Dakota, USA
 
Flag of Conchas, São Paulo, Brazil
Flag of Conchas, São Paulo, Brazil
 
Flag of Cruzeiro do Sul, Acre, Brazil
Flag of Cruzeiro do Sul, Acre, Brazil
 
Flag of Nova Xavantina, Mato Grosso, Brazil
Flag of Nova Xavantina, Mato Grosso, Brazil
 
Flag of Medulin, Croatia
Flag of Medulin, Croatia
 
Flag of Amalfi, Italy
Flag of Amalfi, Italy
 
Flag of Hakodate, Hokkaido, Japan
Flag of Hakodate, Hokkaido, Japan
 
Flag of Sakaide, Kagawa, Japan
Flag of Sakaide, Kagawa, Japan
 
Flag of Yamatokōriyama, Nara, Japan
Flag of Yamatokōriyama, Nara, Japan
 
Flag of Bishkek, Kyrgyzstan
Flag of Bishkek, Kyrgyzstan
 
Flag of Aglona Municipality, Latvia
Flag of Aglona Municipality, Latvia
 
Flag of Lielvārde Municipality, Latvia
Flag of Lielvārde Municipality, Latvia
 
Flag of Cuhureștii de Sus, Moldova
Flag of Cuhureștii de Sus, Moldova
 
Flag of Narvik, Norway
Flag of Narvik, Norway
 
Flag of Goleniów, Poland
Flag of Goleniów, Poland
 
Flag of Rzeszów, Subcarpathian Voivodeship, Poland
Flag of Rzeszów, Subcarpathian Voivodeship, Poland
 
Former flag of Seoul, South Korea (1946–1996)
Former flag of Seoul, South Korea (1946–1996)
 
Flag of Portsmouth, England, United Kingdom
Flag of Portsmouth, England, United Kingdom
 
Former flag of Louisville, Kentucky, USA
Former flag of Louisville, Kentucky, USA
 
Flag of Springfield, Illinois, USA
Flag of Springfield, Illinois, USA
 
Flag of Omaha, Nebraska, USA
Flag of Omaha, Nebraska, USA
 
Flag of Buffalo, New York, USA
Flag of Buffalo, New York, USA
 
Flag of Washington, New York, USA
Flag of Washington, New York, USA
 
Flag of Travis County, Texas, USA
Flag of Travis County, Texas, USA
 
Flag of Bulawayo, Zimbabwe
Flag of Bulawayo, Zimbabwe
 
Blue Flag
Blue Flag
 
