#FAMILIES
leafFamily	familyPath
Persian	Indo-Iranian;;Iranian;;Western Iranian;;Southwestern Iranian;;Persian
Peräpohjola	Finnic;;Finnish;;Peräpohjola
Piro	Arawakan;;Southern;;Piro
Pitkern–Norfuk	English–Tahitian creole;;Pitkern–Norfuk
Pohnpeic	Malayo-Polynesian;;Oceanic;;Micronesian;;Nuclear Micronesian;;Chuukic–Pohnpeic;;Pohnpeic
Pomeranian	Balto-Slavic;;Slavic;;West Slavic;;Lechitic;;Pomeranian
Puquina	Puquina
Pu–Xian Min	Sinitic;;Chinese;;Min;;Coastal Min;;Pu–Xian Min
Qeltu	Semitic;;West Semitic;;Central Semitic;;Arabic;;Mesopotamian;;Qeltu
Rhaeto-Romance	Italic;;Latino-Faliscan;;Latinic;;Romance;;Italo-Western;;Western;;Gallo-Iberian?;;Gallo-Romance;;Gallo-Rhaetian?;;Rhaeto-Romance
Romanian	Italic;;Latino-Faliscan;;Latin;;Romance;;Eastern Romance;;Romanian
Rundic	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Northeast Bantu;;Great Lakes Bantu;;Western Lakes Bantu;;Rwanda-Rundi;;Rundic
Ruthenian	Balto-Slavic;;Slavic;;East Slavic;;Ruthenian
Rwanda-Rundi	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Northeast Bantu;;Great Lakes Bantu;;Western Lakes Bantu;;Rwanda-Rundi
Sabaic?	Semitic;;West Semitic;;South Semitic;;Southwestern Semitic;;Sayhadic;;Sabaic?
Sabaki	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Northeast Coast Bantu;;Sabaki
Saho–Afar	Cushitic;;East;;Lowland;;Saho–Afar
Sama-Bajaw	Malayo-Polynesian;;Sama-Bajaw
Samoan–Tokelauan?	Malayo-Polynesian;;Central–Eastern Malayo-Polynesian?;;Eastern Malayo-Polynesian;;Oceanic;;Central–Eastern Oceanic;;Central Pacific;;East Central Pacific;;Polynesian;;Nuclear Polynesian;;Samoic or Ellicean;;Pukapukic?;;Samoan–Tokelauan?
Santalic	Munda;;North Munda;;Kherwarian;;Santalic
Sayhadic?	Semitic;;West Semitic;;South Semitic?;;Southwestern?;;Sayhadic?
Scots	Germanic;;West Germanic;;North Sea Germanic;;Anglo-Frisian;;Anglic;;Scots
Sena (N40) ?	Atlantic–Congo;;Benue–Congo;;Southern Bantoid;;Bantu;;Nyasa;;Sena (N40) ?
Senegambian	Atlantic–Congo;;West Atlantic;;Senegambian
Serbo-Croatian	Balto-Slavic;;Slavic;;South;;Western;;Serbo-Croatian
Sgaw–Bghai	Karen languages;;Sgaw–Bghai
Shona (S.10)	Atlantic–Congo;;Benue–Congo;;Southern Bantoid;;Bantu;;Shona (S.10)
Shona group	Atlantic–Congo;;Benue–Congo;;Southern;;Bantu;;Shona group
Shona languages (S.10)	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Shona languages (S.10)
Sicilian Arabic	Semitic;;West Semitic;;Central Semitic;;Arabic;;Maghrebi;;Pre-Hilalian;;Pre-Hilalian Tunisian;;Sicilian Arabic
Sindhic	Indo-Iranian;;Indo-Aryan;;Northwestern;;Sindhic
Sinhalese–Maldivian	Indo-Iranian;;Indo-Aryan;;Southern;;Sinhalese–Maldivian
Sinitic	Sinitic
Somali languages	Cushitic;;East;;Lowland;;Macro-Somali;;Somali languages
Soninke–Bobo	Niger–Congo?;;Mande;;Western Mande;;Northwestern;;Soninke–Bobo
Soninke–Bozo	Mande;;Western Mande;;Northwestern;;Soninke–Bobo;;Soninke–Bozo
Sorbian	Balto-Slavic;;Slavic;;West Slavic;;Sorbian
Soso–Yalunka	Niger–Congo?;;Mande;;Western Mande;;Central;;Soso–Yalunka
Sotho–Tswana	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Southern Bantu;;Sotho–Tswana
South	Semitic;;West;;Central;;Northwest;;Canaanite;;South
South Bia	Atlantic–Congo;;Kwa;;Potou–Tano;;Tano;;Central Tano;;Bia;;South Bia
Southeast Semitic	Afro-Asiatic;;Semitic;;West Semitic;;South Semitic;;Southeast Semitic
Southeastern	Indo-Iranian;;Iranian;;Southeastern
Southeastern Bengali	Indo-Iranian;;Indo-Aryan;;Eastern;;Bengali–Assamese;;Gauda–Bangla;;Southeastern Bengali
Southern	English Creole;;Atlantic;;Eastern;;Southern
Southern Oghuz	Turkic;;Common Turkic;;Oghuz;;Southern Oghuz
Southern Romance?	Italic;;Latino-Faliscan;;Latin;;Romance;;Southern Romance?
Southwest Bantu	Atlantic–Congo;;Volta–Congo languages;;Benue–Congo;;Bantoid languages;;Southern Bantoid;;Bantu;;Kavango – Southwest;;Southwest Bantu
Southwestern	Sámi;;Western;;Southwestern
Southwestern Brittonic	Celtic;;Insular Celtic;;Brittonic;;Southwestern Brittonic
Spanish-based creole	Spanish-based creole
Standard Mandarin	Sinitic;;Chinese;;Mandarin;;Beijing Mandarin;;Beijingese;;Standard Mandarin
Suppire–Mamara	Atlantic–Congo;;Senufo;;Suppire–Mamara
Suriname	English Creole;;Atlantic;;Suriname
Tacana Proper	Tacanan;;Araona–Tacanan;;Cavinena–Tacana;;Tacana Proper
Tacanan	Tacanan
Tagalog	Malayo-Polynesian;;Philippine;;Greater Central Philippine;;Central Philippine;;Kasiguranin–Tagalog;;Tagalog
Tahitic	Malayo-Polynesian;;Oceanic;;Polynesian;;Eastern Polynesian;;Tahitic
Tamil–Paliyan	Southern;;Southern I;;Tamil–Kannada;;Tamil–Kota;;Tamil–Toda;;Tamil–Irula;;Tamil–Kodava–Urali;;Tamil–Malayalam;;Tamiloid;;Tamil–Paliyan
Tatic	Indo-Iranian;;Iranian;;Western;;Northwestern;;Adharic;;Tatic
Tekela	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Southern Bantu;;Nguni;;Tekela
Tequiraca–Canichana?	Tequiraca–Canichana?
Tetunic	Malayo-Polynesian;;Central–Eastern;;Timor–Babar;;Tetunic
Tibeto-Burman	Tibeto-Burman
Tongic	Malayo-Polynesian;;Oceanic;;Polynesian;;Tongic
Tswa–Ronga	Atlantic–Congo;;Volta-Congo;;Benue–Congo;;Bantoid;;Southern Bantoid;;Bantu;;Southern Bantu;;Tswa–Ronga
Tupi	Tupian;;Tupi–Guarani;;Tupi languages;;Tupi
Tuscan	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Italo-Dalmatian;;Italo-Romance;;Tuscan
Ugric	Uralic;;Ugric
Upper Guinea Creole	Portuguese Creole;;Afro-Portuguese Creole;;Upper Guinea Creole
Vainakh	Northeast Caucasian;;Nakh;;Vainakh
Venetian	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;(disputed);;Venetian
Viet–Mường	Vietic;;Viet–Mường
Warayan	Malayo-Polynesian;;Philippine;;Central Philippine;;Bisayan;;Central Bisayan;;Warayan
West African Pidgin English	English Creole;;Atlantic;;West African Pidgin English
West Iberian	Italic;;Latino-Faliscan;;Latin;;Romance;;Italo-Western;;Western;;Ibero-Romance;;West Iberian
West Manding	Mande;;Western Mande;;Manding;;West Manding
West Scandinavian	Germanic;;Northwest Germanic;;North Germanic;;West Scandinavian
